program_id,channel_id,start,end,fitness
9perth_au_weekend_today_2026-01-04_0000,89,0,180,293
mutv_au_the_premier_league_25_26_2026-01-04_0180,332,180,300,245
aljazeera_au_news_live_2026-01-04_0300,138,300,330,76
7darwin_au_the_ashes_aus_v_eng_t5_d_2026-01-04_0330,30,330,479,303
9gemcanberra_au_friends_2026-01-04_0479,60,479,510,63
7adelaide_au_seven_news_2026-01-04_0510,22,510,570,197
10peachperth_au_friends_2026-01-04_0570,13,570,600,90
nsw_sydneyfoxsport_full_time_live_4_1_26_2026-01-04_0600,350,600,630,197
abcnewshobart_au_abc_news_2026-01-04_0630,123,630,660,82
nsw_sydneyfoxsport_full_time_live_4_1_26_2026-01-04_0660,350,660,690,198
nsw_sydneyfoxsport_full_time_live_4_1_26_2026-01-04_0690,350,690,720,150
10bolddarwin_au_ncis_2026-01-04_0720,2,720,775,57
10bolddarwin_au_ncis_2026-01-04_0775,2,775,831,62
10bolddarwin_au_blue_bloods_2026-01-04_0831,2,831,888,79
10bolddarwin_au_blue_bloods_2026-01-04_0888,2,888,945,65
abcmemelbourne_au_penn_and_teller_fool_us_2026-01-04_0945,113,945,986,87
abcmehobart_au_live_at_the_apollo_2026-01-04_0986,112,986,1032,196
abcmehobart_au_heartbreak_high_2026-01-04_1034,112,1034,1079,84
abchobart_au_the_art_of_2026-01-04_1079,99,1079,1110,71
9rushperth_au_alaskan_bush_people_2026-01-04_1110,93,1110,1170,212
sbsfoodbrisbane_au_andrew_zimmern_s_wild_ga_2026-01-04_1170,392,1170,1200,212
10boldbrisbane_au_home_shopping_2026-01-04_1290,1,1290,1320,61
10boldbrisbane_au_home_shopping_2026-01-04_1320,1,1320,1350,73
