program_id,channel_id,start,end,fitness
rmcsportlive4_fr_cha_ne_v_nementielle_pou_2026-01-04_0000,295,0,360,325
eurosport360_5_fr_a_bient_t_sur_eurosport__2026-01-04_0360,135,360,540,240
24htve_fr_noticias_24h_2026-01-04_0540,2,540,570,80
myzentv_fr_fais_ton_sport_la_maison_2026-01-04_0570,237,570,615,121
planeteplus_fr_american_pickers_la_broc_2026-01-04_0615,268,615,657,69
planeteplus_fr_american_pickers_la_broc_2026-01-04_0657,268,657,701,78
topsante_fr_bien_dans_ma_t_te_2026-01-04_0704,363,704,735,61
phoenixcne_fr_news_times_2026-01-04_0735,267,735,780,80
e_fr_below_deck_sailing_yacht_2026-01-04_0812,121,812,857,61
planete_aventure_f_guy_martin_arctic_warrio_2026-01-04_0857,259,857,902,69
planete_aventure_f_le_myst_re_d_oak_island__2026-01-04_0902,259,902,943,85
topsante_fr_claudia_coach_2026-01-04_0943,363,943,984,144
aljazeeraenglish_f_news_live_2026-01-04_1020,16,1020,1050,90
beinsportsmax6_fr_bein_sports_le_plus_gran_2026-01-04_1050,390,1050,1105,168
beinsportsmax6_fr_football_liga_majorque_v_2026-01-04_1105,390,1105,1230,217
i24newsenglish_fr_news_room_2026-01-04_1230,184,1230,1260,90
mggtv_fr_paris_games_week_2026-01-04_1270,222,1270,1320,171
france24english_fr_football_coupe_d_afrique_2026-01-04_1320,144,1320,1350,126
enquetescriminelle_enqu_tes_criminelles_2026-01-04_1350,128,1350,1400,115
lesmarseillais24_2_les_marseillais_2026-01-04_1405,203,1405,1435,52
